"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7b","SBS7c","SBS7d","SBS8","SBS9","SBS10a","SBS10b","SBS10c","SBS10d","SBS11","SBS12","SBS13","SBS14","SBS15","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS20","SBS21","SBS22","SBS23","SBS24","SBS25","SBS26","SBS28","SBS29","SBS30","SBS31","SBS32","SBS33","SBS34","SBS35","SBS36","SBS37","SBS38","SBS39","SBS40","SBS41","SBS42","SBS44","SBS84","SBS85","SBS86","SBS87","SBS88","SBS89","SBS90","SBS91","SBS92","SBS93","SBS94"
"SBS8",0.591864030249373,0.299910860197111,-0.357548470967097,0.286038776773678,-0.00953462589245592,0.143019388386839,0.0885267789745639,0.362315783913325,-0.536322706450646,-0.504545454545455,1,-0.238365647311398,0.600681431224723,0.409090909090909,-0.0119182823655699,-0.195454545454545,0.586363636363636,0.451486572770276,0.663950842309229,0.305081737097061,-0.299910860197111,0.330747546315826,-0.413670151996015,0.168200880051671,0.402057352365668,0.22131694743641,0.286038776773678,0.238365647311398,-0.104880884817015,0.286038776773678,-0.591146805332267,NA,0.858365565391732,0.418841028895965,0.332134334562943,-0.498201501844415,0.357548470967097,0.559090909090909,-0.504825202271524,0.109090909090909,NA,NA,-0.0930757841991034,0,0.139613676298655,0.579138212794421,NA,-0.227518583597808,-0.357548470967097,0.563636363636364,0.162088640171751,0.276504150881222,0.599821720394222,-0.0909090909090909,0.100514338091417,0.286038776773678,-0.389517827488081,NA,-0.191322445298157,NA
"SBS9",0.342326598440729,0.244046765045988,-0.1875,-0.1875,-0.05,-0.1875,-0.16248342090492,-0.45,0.21875,0.667423812471915,-0.238365647311398,1,-0.45,0.357548470967097,-0.28125,0.476731294622796,-0.536322706450646,-0.16248342090492,0.255331089993446,-0.366070147568982,0.122023382522994,-0.639009650422694,0.867721831274625,0.649933683619682,-0.401055592449842,0.0696357518163944,-0.1875,-0.28125,0.475,-0.1875,0.05,NA,-0.366070147568982,-0.366070147568982,0.0229174624257053,0.641688947919748,0.34375,0.238365647311398,-0.387970144899493,-0.238365647311398,NA,NA,-0.366070147568982,0.75,-0.366070147568982,-0.366070147568982,NA,-0.366070147568982,0.5625,-0.297957059139248,0.05,0.3,0.108465228909328,0.476731294622796,-0.320844473959874,-0.1875,0.139271503632789,NA,0.108465228909328,NA
"SBS10a",0.474692883171144,-0.206083934927723,-0.3,-0.3,-0.22,0.45,0.0742781352708207,0.86,-0.45,-0.20976176963403,0.600681431224723,-0.45,1,0.228831021418942,0.15,-0.51486979819262,0.667423812471915,0.241403939630167,0.129986736723936,0.61825180478317,0.238623503600522,0.127801930084539,-0.585712236110372,0.297112541083283,0.843362617265955,-0.408529743989514,-0.3,0.35,-0.72,-0.3,-0.14,NA,0.520633098764775,0.0325395686727984,0.284176534078746,-0.52251814330608,0.3,0.657889186579459,-0.182574185835055,-0.114415510709471,NA,NA,-0.195237412036791,-0.3,0.130158274691194,0.379628301182648,NA,0.0108465228909328,-0.3,0.734166193719106,-0.12,-0.06,-0.195237412036791,0.286038776773678,0.440015278573541,-0.3,-0.111417202906231,NA,-0.0976187060183953,NA
"SBS10b",0.757237803407286,-0.186151568398207,0.143019388386839,-0.357548470967097,-0.667423812471915,-0.357548470967097,0.0354107115898256,0.104880884817015,0.119182823655699,-0.00909090909090909,0.409090909090909,0.357548470967097,0.228831021418942,1,0.500567859353936,0.459090909090909,-0.286363636363636,0.123937490564389,0.495749962257558,0.191322445298157,-0.465378920995517,-0.609271795844942,0.413670151996015,0.63739280861686,0.0830335836407358,-0.247874981128779,-0.357548470967097,0,-0.190692517849118,-0.357548470967097,-0.619750683009635,NA,0.460208044095567,-0.27922735259731,0.43264867265436,0.493831313231745,0.762770071396474,0.477272727272727,-0.644087327036082,0.218181818181818,NA,NA,-0.025854384499751,0.429058165160517,-0.698068381493276,-0.0930757841991034,NA,0.025854384499751,0,0.531818181818182,-0.238365647311398,0.266969524988766,0.118930168698854,0.154545454545455,0.319023768724932,-0.357548470967097,0.256727659026235,NA,-0.299910860197111,NA
"SBS10c",0.251039505523201,-0.366070147568982,0.75,-0.1875,-0.45,-0.1875,-0.0696357518163944,0.05,0.5,-0.238365647311398,-0.0119182823655699,-0.28125,0.15,0.500567859353936,1,0.119182823655699,-0.107264541290129,0.255331089993446,-0.255331089993446,0.013558153613666,-0.366070147568982,-0.433613691358257,0.108465228909328,-0.0696357518163944,-0.0458349248514106,-0.394602593626235,-0.1875,-0.28125,-0.45,-0.1875,-0.45,NA,0.230488611432322,-0.366070147568982,0.366679398811285,0.4354317860884,0.34375,-0.0119182823655699,0.0456435464587638,0.500567859353936,NA,NA,0.108465228909328,-0.1875,-0.366070147568982,0.122023382522994,NA,0.379628301182648,-0.1875,0.500567859353936,-0.075,-0.05,-0.366070147568982,-0.202610800214688,0.252092086682758,-0.1875,0.278543007265578,NA,-0.366070147568982,NA
"SBS10d",0.139262124764558,-0.0930757841991034,0.429058165160517,-0.357548470967097,-0.46719666873034,-0.357548470967097,-0.22131694743641,-0.51486979819262,0.357548470967097,0.2,-0.195454545454545,0.476731294622796,-0.51486979819262,0.459090909090909,0.119182823655699,1,-0.818181818181818,-0.354107115898255,0.141642846359302,-0.27922735259731,-0.465378920995517,-0.487417436675954,0.672213996993525,0.0708214231796511,-0.336504523175614,0.239022303231322,-0.357548470967097,0,0.171623266064207,-0.357548470967097,-0.219296395526486,NA,-0.27922735259731,-0.27922735259731,0.0917739608660764,0.555013953809129,0.0834279765589893,-0.0909090909090909,-0.121854359168988,-0.0272727272727273,NA,NA,0.517087689995019,0.572077553547355,-0.698068381493276,-0.698068381493276,NA,0.253372968097559,0,-0.109090909090909,-0.0476731294622796,-0.114415510709471,0.191322445298157,-0.140909090909091,0.0131105658380109,-0.357548470967097,0.194758913744041,NA,0.170638937698356,NA
"SBS11",0.147966007562343,0.398157521296165,-0.357548470967097,0.429058165160517,0.390919661590693,0.572077553547355,-0.123937490564389,0.533939049977532,-0.536322706450646,-0.259090909090909,0.586363636363636,-0.536322706450646,0.667423812471915,-0.286363636363636,-0.107264541290129,-0.818181818181818,1,0.522307995949927,0.106232134769477,0.25854384499751,0.294739983297161,0.504825202271524,-0.698068381493276,-0.106232134769477,0.397687163752998,0.0796741010771075,0.429058165160517,0.0953462589245592,-0.228831021418942,0.429058165160517,-0.162088640171751,NA,0.444695413395716,0.413670151996015,0.14421622421812,-0.725451309703271,0,0.354545454545455,0.0696310623822791,-0.0409090909090909,NA,NA,-0.465378920995517,-0.357548470967097,0.785973288792429,0.81699855019213,NA,-0.191322445298157,-0.357548470967097,0.290909090909091,0.409988913375605,0.20976176963403,0.160297183898456,0.145454545454545,-0.0830335836407358,0.429058165160517,-0.469191928565189,NA,-0.0930757841991034,NA
"SBS12",0.457692864944047,0.563961646157533,-0.139271503632789,0.417814510898367,0.297112541083283,0.278543007265578,0,-0.0742781352708207,-0.394602593626235,-0.336401760103343,0.451486572770276,-0.16248342090492,0.241403939630167,0.123937490564389,0.255331089993446,-0.354107115898255,0.522307995949927,1,0.0172413793103448,-0.322263797804304,-0.261839335715997,0.152564288314682,-0.231627104671844,-0.0172413793103448,-0.221294628635664,0.413793103448276,0.417814510898367,-0.62672176634755,0.259973473447873,0.417814510898367,-0.297112541083283,NA,0.382688259892611,-0.151061155220768,0.80006519583663,-0.00851133187060244,0.557086014531156,0.380665149590625,0.220370638676763,0.681656198104142,NA,NA,-0.342405285167073,0.139271503632789,0.302122310441535,0.835871725554915,NA,-0.594173877201686,-0.417814510898367,0.132790168461846,0.519946946895745,0.519946946895745,0.130919667857999,0.0973794568720203,0.0680906549648196,0.417814510898367,0.137931034482759,NA,0.251768592034613,NA
"SBS13",0.322080164219885,0.281980823078766,-0.417814510898367,0.278543007265578,-0.297112541083283,-0.417814510898367,0.0344827586206897,0.222834405812462,-0.441026428170498,-0.0531160673847383,0.663950842309229,0.255331089993446,0.129986736723936,0.495749962257558,-0.255331089993446,0.141642846359302,0.106232134769477,0.0172413793103448,1,0.433041978299534,-0.42297123461815,0.0339031751810405,0.0302122310441535,0.482758620689655,0.00851133187060244,0.189655172413793,0.278543007265578,0.46423834544263,0.222834405812462,0.278543007265578,-0.649933683619682,NA,0.614315364564455,0.584103133520302,-0.0425566593530122,-0.0936246505766269,0.394602593626235,0.194758913744041,-0.762821441573412,-0.0708214231796511,NA,NA,-0.181273386264921,0.417814510898367,-0.0503537184069226,0.100707436813845,NA,-0.0503537184069226,-0.139271503632789,0.0354107115898256,-0.0928476690885259,0.594225082166566,0.795588750829376,0.123937490564389,0.076601986835422,0.278543007265578,-0.189655172413793,NA,-0.392759003573996,NA
"SBS14",-0.0693103280083672,-0.476470588235294,-0.244046765045988,-0.244046765045988,-0.585712236110372,-0.244046765045988,0.191344129946306,0.900261399947423,-0.366070147568982,-0.0723922765993027,0.305081737097061,-0.366070147568982,0.61825180478317,0.191322445298157,0.013558153613666,-0.27922735259731,0.25854384499751,-0.322263797804304,0.433041978299534,1,-0.0235294117647059,0.108916229727434,-0.476470588235294,0.322263797804304,0.606522465158112,-0.543820158794764,-0.244046765045988,0.840605524047293,-0.585712236110372,-0.244046765045988,-0.227776980709589,NA,0.452941176470588,0.452941176470588,-0.283375250114856,-0.352976188739557,0.108465228909328,0.025854384499751,-0.386157541760903,-0.227518583597808,NA,NA,0,-0.244046765045988,-0.0235294117647059,-0.105882352941176,NA,0.476470588235294,-0.244046765045988,0.284398229497261,-0.585712236110372,0.0759256602365297,0,0.180980691498257,0.586636482693912,-0.244046765045988,0.0503537184069226,NA,-0.476470588235294,NA
